symbol,fiscal_year,reported_EPS
JNJ,2025-03-31,2.77
JNJ,2024-12-31,9.99
JNJ,2023-12-31,10.43
JNJ,2022-12-31,10.16
JNJ,2021-12-31,9.8
JNJ,2020-12-31,8.03
JNJ,2019-12-31,8.68
JNJ,2018-12-31,8.18
JNJ,2017-12-31,7.3
JNJ,2016-12-31,6.68
JNJ,2015-12-31,6.2
JNJ,2014-12-31,5.97
JNJ,2013-12-31,5.52
JNJ,2012-12-31,5.11
JNJ,2011-12-31,5.0
JNJ,2010-12-31,4.76
JNJ,2009-12-31,4.63
JNJ,2008-12-31,4.55
JNJ,2007-12-31,4.15
JNJ,2006-12-31,3.76
JNJ,2005-12-31,3.5
JNJ,2004-12-31,3.1
JNJ,2003-12-31,2.65
JNJ,2002-12-31,2.22
JNJ,2001-12-31,1.9
JNJ,2000-12-31,1.72
JNJ,1999-12-31,1.51
JNJ,1998-12-31,1.35
JNJ,1997-12-31,1.24
JNJ,1996-12-31,1.09
PFE,2025-03-31,0.0
PFE,2024-12-31,3.11
PFE,2023-12-31,1.83
PFE,2022-12-31,6.63
PFE,2021-12-31,4.42
PFE,2020-12-31,2.72
PFE,2019-12-31,2.95
PFE,2018-12-31,3.0
PFE,2017-12-31,2.65
PFE,2016-12-31,2.39
PFE,2015-12-31,2.2
PFE,2014-12-31,2.26
PFE,2013-12-31,2.24
PFE,2012-12-31,2.2
PFE,2011-12-31,2.32
PFE,2010-12-31,2.23
PFE,2009-12-31,2.02
PFE,2008-12-31,2.43
PFE,2007-12-31,2.2
PFE,2006-12-31,2.08
PFE,2005-12-31,2.02
PFE,2004-12-31,2.12
PFE,2003-12-31,1.75
PFE,2002-12-31,1.59
PFE,2001-12-31,1.31
PFE,2000-12-31,1.05
PFE,1999-12-31,0.88
PFE,1998-12-31,0.7
PFE,1997-12-31,0.57
PFE,1996-12-31,0.5
UNH,2025-03-31,7.2
UNH,2024-12-31,27.92
UNH,2023-12-31,25.12
UNH,2022-12-31,22.19
UNH,2021-12-31,19.01
UNH,2020-12-31,16.87
UNH,2019-12-31,15.11
UNH,2018-12-31,12.87
UNH,2017-12-31,10.08
UNH,2016-12-31,7.99
UNH,2015-12-31,6.15
UNH,2014-12-31,5.7
UNH,2013-12-31,5.5
UNH,2012-12-31,5.28
UNH,2011-12-31,4.72
UNH,2010-12-31,4.21
UNH,2009-12-31,3.24
UNH,2008-12-31,2.96
UNH,2007-12-31,3.48
UNH,2006-12-31,2.98
UNH,2005-12-31,2.48
UNH,2004-12-31,1.98
UNH,2003-12-31,1.49
UNH,2002-12-31,1.06
UNH,2001-12-31,0.7
UNH,2000-12-31,0.53
UNH,1999-12-31,0.4
UNH,1998-12-31,0.32
UNH,1997-12-31,0.28
UNH,1996-12-31,0.25
MDT,2025-01-31,3.88
MDT,2024-04-30,5.21
MDT,2023-04-30,5.3
MDT,2022-04-30,5.62
MDT,2021-04-30,4.43
MDT,2020-04-30,4.59
MDT,2019-04-30,5.22
MDT,2018-04-30,4.78
MDT,2017-04-30,4.6
MDT,2016-04-30,4.38
MDT,2015-04-30,4.06
MDT,2014-04-30,3.82
MDT,2013-04-30,3.76
MDT,2012-04-30,3.46
MDT,2011-04-30,3.38
MDT,2010-04-30,3.23
MDT,2009-04-30,2.92
MDT,2008-04-30,2.61
MDT,2007-04-30,2.41
MDT,2006-04-30,2.21
MDT,2005-04-30,1.86
MDT,2004-04-30,1.64
MDT,2003-04-30,1.41
MDT,2002-04-30,1.21
MDT,2001-04-30,1.07
MDT,2000-04-30,0.92
MDT,1999-04-30,0.72
MDT,1998-04-30,0.64
MDT,1997-04-30,0.57
MDT,1996-04-30,0.14
