symbol,report_type,fiscal_date,reported_currency,totalAssets,totalCurrentAssets,cashAndCashEquivalentsAtCarryingValue,cashAndShortTermInvestments,inventory,currentNetReceivables,totalNonCurrentAssets,propertyPlantEquipment,accumulatedDepreciationAmortizationPPE,intangibleAssets,intangibleAssetsExcludingGoodwill,goodwill,investments,longTermInvestments,shortTermInvestments,otherCurrentAssets,otherNonCurrentAssets,totalLiabilities,totalCurrentLiabilities,currentAccountsPayable,deferredRevenue,currentDebt,shortTermDebt,totalNonCurrentLiabilities,capitalLeaseObligations,longTermDebt,currentLongTermDebt,longTermDebtNoncurrent,shortLongTermDebtTotal,otherCurrentLiabilities,otherNonCurrentLiabilities,totalShareholderEquity,treasuryStock,retainedEarnings,commonStock,commonStockSharesOutstanding
JNJ,annual,2024-12-31,USD,180104000000,55893000000,24105000000,24105000000,12444000000,0,124211000000,0,0,37618000000,37618000000,44200000000,0,0,417000000,0,0,108614000000,50321000000,0,0,0,5983000000,58293000000,0,30651000000,5983000000,0,36634000000,30255000000,17549000000,71490000000,0,0,0,2406922000
JNJ,annual,2023-12-31,USD,167558000000,53495000000,21859000000,21859000000,11181000000,0,114063000000,0,0,34175000000,34175000000,36558000000,0,0,1068000000,4514000000,0,98784000000,46282000000,0,0,0,3451000000,52502000000,0,25881000000,3451000000,0,29332000000,30206000000,13398000000,68774000000,-75662000000,153843000000,3120000000,2560400000
JNJ,annual,2022-12-31,USD,187378000000,55294000000,12889000000,12889000000,10268000000,0,132084000000,19803000000,0,38489000000,38489000000,36047000000,0,0,9392000000,8706000000,0,110574000000,55802000000,0,0,0,12756000000,54772000000,0,26888000000,12771000000,0,39642000000,30937000000,21510000000,76804000000,-41694000000,128345000000,3120000000,2663900000
JNJ,annual,2021-12-31,USD,182018000000,60979000000,14487000000,14487000000,10387000000,0,121039000000,18962000000,0,46392000000,46392000000,35246000000,0,0,17121000000,3701000000,0,107995000000,45226000000,0,0,0,3766000000,62769000000,0,29985000000,3766000000,0,33751000000,29293000000,25297000000,74023000000,-39099000000,123060000000,3120000000,2674000000
JNJ,annual,2020-12-31,USD,174894000000,51237000000,13985000000,13985000000,9344000000,0,123657000000,18766000000,0,53402000000,53402000000,36393000000,0,0,11200000000,3132000000,0,111616000000,42493000000,0,0,0,2631000000,69123000000,0,32635000000,2631000000,0,35266000000,28965000000,29274000000,63278000000,-38490000000,113890000000,3120000000,2670700000
JNJ,annual,2019-12-31,USD,157728000000,45274000000,17305000000,17305000000,9020000000,0,112454000000,17658000000,0,47643000000,47643000000,33639000000,0,1149000000,1982000000,2486000000,0,98257000000,35964000000,0,0,0,1202000000,62293000000,0,26494000000,1202000000,0,27696000000,23952000000,29841000000,59471000000,-38417000000,110659000000,3120000000,2684300000
JNJ,annual,2018-12-31,USD,152954000000,46033000000,18107000000,18107000000,8599000000,0,106921000000,17035000000,0,47611000000,47611000000,30453000000,0,517000000,1580000000,3649000000,0,93202000000,31230000000,0,0,0,2796000000,61972000000,0,27684000000,2796000000,0,30480000000,20079000000,8589000000,59752000000,-34362000000,106216000000,3120000000,2728700000
JNJ,annual,2017-12-31,USD,157303000000,43088000000,17824000000,17824000000,8765000000,0,114215000000,17005000000,0,53228000000,53228000000,31906000000,0,758000000,472000000,2537000000,0,97143000000,30537000000,0,0,0,3906000000,66606000000,0,30675000000,3906000000,0,34581000000,17467000000,9017000000,60160000000,-31554000000,101793000000,3120000000,2745300000
JNJ,annual,2016-12-31,USD,141208000000,65032000000,18972000000,18972000000,8144000000,0,76176000000,15912000000,0,26876000000,26876000000,22805000000,0,900000000,22935000000,3282000000,0,70790000000,26287000000,0,0,0,4684000000,44503000000,0,22442000000,4684000000,0,27126000000,13714000000,9536000000,70418000000,-28352000000,110551000000,3120000000,2788900000
JNJ,annual,2015-12-31,USD,133411000000,60210000000,13732000000,13732000000,8053000000,0,73201000000,15905000000,0,25764000000,25764000000,21629000000,0,1514000000,24644000000,3047000000,0,62261000000,27747000000,0,0,0,7004000000,34514000000,0,12857000000,2104000000,0,19861000000,13325000000,19095000000,71150000000,-22684000000,103879000000,3120000000,2812900000
