symbol,fiscal_quarter,reported_date,reported_EPS,estimated_EPS,surprise,surprise_pct,report_time
JNJ,2025-03-31,2025-04-14,2.77,2.5795,0.1905,7.3852,pre-market
JNJ,2024-12-31,2025-01-22,2.04,2.0122,0.0278,1.3816,pre-market
JNJ,2024-09-30,2024-10-15,2.42,2.21,0.21,9.5023,pre-market
JNJ,2024-06-30,2024-07-17,2.82,2.7,0.12,4.4444,pre-market
JNJ,2024-03-31,2024-04-16,2.71,2.64,0.07,2.6515,pre-market
JNJ,2023-12-31,2024-01-23,2.29,2.28,0.01,0.4386,pre-market
JNJ,2023-09-30,2023-10-17,2.66,2.52,0.14,5.5556,pre-market
JNJ,2023-06-30,2023-07-20,2.8,2.62,0.18,6.8702,pre-market
JNJ,2023-03-31,2023-04-18,2.68,2.5,0.18,7.2,pre-market
JNJ,2022-12-31,2023-01-24,2.35,2.23,0.12,5.3812,pre-market
JNJ,2022-09-30,2022-10-18,2.55,2.47,0.08,3.2389,pre-market
JNJ,2022-06-30,2022-07-19,2.59,2.54,0.05,1.9685,pre-market
JNJ,2022-03-31,2022-04-19,2.67,2.56,0.11,4.2969,pre-market
JNJ,2021-12-31,2022-01-25,2.13,2.12,0.01,0.4717,pre-market
JNJ,2021-09-30,2021-10-19,2.6,2.35,0.25,10.6383,pre-market
JNJ,2021-06-30,2021-07-21,2.48,2.27,0.21,9.2511,pre-market
JNJ,2021-03-31,2021-04-20,2.59,2.34,0.25,10.6838,pre-market
JNJ,2020-12-31,2021-01-26,1.86,1.82,0.04,2.1978,pre-market
JNJ,2020-09-30,2020-10-13,2.2,1.98,0.22,11.1111,pre-market
JNJ,2020-06-30,2020-07-16,1.67,1.49,0.18,12.0805,pre-market
JNJ,2020-03-31,2020-04-14,2.3,2.0,0.3,15.0,pre-market
JNJ,2019-12-31,2020-01-22,1.88,1.87,0.01,0.5348,pre-market
JNJ,2019-09-30,2019-10-15,2.12,2.01,0.11,5.4726,pre-market
JNJ,2019-06-30,2019-07-16,2.58,2.46,0.12,4.878,pre-market
JNJ,2019-03-31,2019-04-16,2.1,2.03,0.07,3.4483,pre-market
JNJ,2018-12-31,2019-01-22,1.97,1.95,0.02,1.0256,pre-market
JNJ,2018-09-30,2018-10-16,2.05,2.03,0.02,0.9852,pre-market
JNJ,2018-06-30,2018-07-17,2.1,2.07,0.03,1.4493,pre-market
JNJ,2018-03-31,2018-04-17,2.06,2.02,0.04,1.9802,pre-market
JNJ,2017-12-31,2018-01-23,1.74,1.72,0.02,1.1628,pre-market
JNJ,2017-09-30,2017-10-17,1.9,1.8,0.1,5.5556,pre-market
JNJ,2017-06-30,2017-07-18,1.83,1.8,0.03,1.6667,pre-market
JNJ,2017-03-31,2017-04-18,1.83,1.77,0.06,3.3898,pre-market
JNJ,2016-12-31,2017-01-24,1.58,1.56,0.02,1.2821,pre-market
JNJ,2016-09-30,2016-10-18,1.68,1.66,0.02,1.2048,pre-market
JNJ,2016-06-30,2016-07-19,1.74,1.68,0.06,3.5714,pre-market
JNJ,2016-03-31,2016-04-19,1.68,1.65,0.03,1.8182,pre-market
JNJ,2015-12-31,2016-01-26,1.44,1.42,0.02,1.4085,pre-market
JNJ,2015-09-30,2015-10-13,1.49,1.45,0.04,2.7586,pre-market
JNJ,2015-06-30,2015-07-14,1.71,1.67,0.04,2.3952,pre-market
JNJ,2015-03-31,2015-04-14,1.56,1.54,0.02,1.2987,pre-market
JNJ,2014-12-31,2015-01-20,1.27,1.26,0.01,0.7937,pre-market
