symbol,date,open,high,low,close,volume
JNJ,2025-03-31,164.37,166.63,164.23,165.84,12481400.0
JNJ,2025-03-28,163.59,164.52,162.91,163.71,5760545.0
JNJ,2025-03-27,162.35,164.065,161.32,163.13,6752466.0
JNJ,2025-03-26,161.21,162.49,160.64,161.72,7223773.0
JNJ,2025-03-25,163.52,164.19,160.555,161.02,7456197.0
JNJ,2025-03-24,162.84,164.39,162.5,163.29,8046565.0
JNJ,2025-03-21,163.0,164.13,162.48,163.63,17047106.0
JNJ,2025-03-20,163.0,163.2,161.925,163.02,7485930.0
JNJ,2025-03-19,163.97,164.36,162.21,162.99,5936637.0
JNJ,2025-03-18,163.44,164.86,162.965,164.25,7348974.0
JNJ,2025-03-17,162.41,163.5,161.73,162.84,6669815.0
JNJ,2025-03-14,162.12,163.15,161.1,162.81,6235797.0
JNJ,2025-03-13,163.43,164.54,162.6601,162.99,5286734.0
JNJ,2025-03-12,163.73,164.21,162.23,162.85,8010692.0
JNJ,2025-03-11,167.2,167.3,165.05,165.86,9890648.0
JNJ,2025-03-10,167.48,169.9,167.05,167.7,17523663.0
JNJ,2025-03-07,165.13,168.46,164.7,166.69,9637593.0
JNJ,2025-03-06,165.0,165.87,163.51,165.83,8037888.0
JNJ,2025-03-05,164.51,166.4618,163.53,165.12,8745050.0
JNJ,2025-03-04,168.08,169.99,165.32,165.42,11999962.0
JNJ,2025-03-03,164.96,167.33,164.84,167.28,9191464.0
JNJ,2025-02-28,164.31,165.94,162.7,165.02,12037415.0
JNJ,2025-02-27,162.31,163.95,161.73,163.73,8364573.0
JNJ,2025-02-26,165.08,165.13,162.555,163.08,11396410.0
JNJ,2025-02-25,164.1,166.43,163.94,166.09,12303697.0
JNJ,2025-02-24,162.68,164.87,162.05,163.74,10201917.0
JNJ,2025-02-21,159.88,163.51,159.28,162.3,12546930.0
JNJ,2025-02-20,156.95,159.95,156.95,159.68,7224030.0
JNJ,2025-02-19,155.0,158.3,154.75,157.89,7974736.0
JNJ,2025-02-18,154.14,155.45,153.24,154.99,9670657.0
JNJ,2025-02-14,157.29,157.47,156.06,156.15,6411840.0
JNJ,2025-02-13,155.26,158.13,154.79,157.25,10705077.0
JNJ,2025-02-12,155.27,155.6599,154.27,155.26,7746014.0
JNJ,2025-02-11,154.11,156.39,153.94,156.13,7554811.0
JNJ,2025-02-10,153.61,154.37,152.29,154.24,6936561.0
JNJ,2025-02-07,153.53,154.49,152.8,153.12,6204916.0
JNJ,2025-02-06,154.79,154.8402,153.38,153.51,7418468.0
JNJ,2025-02-05,153.82,154.73,153.31,154.69,8946957.0
JNJ,2025-02-04,151.36,154.18,150.945,153.49,9645289.0
JNJ,2025-02-03,152.0,152.465,150.78,151.87,6687487.0
JNJ,2025-01-31,152.62,153.18,152.055,152.15,8458715.0
JNJ,2025-01-30,151.91,154.14,151.36,152.87,8910983.0
JNJ,2025-01-29,150.5,151.88,150.0,151.15,7156421.0
JNJ,2025-01-28,152.66,152.97,150.3,150.38,10320613.0
JNJ,2025-01-27,148.45,153.45,148.0,152.89,15152314.0
JNJ,2025-01-24,146.805,147.631,146.383,146.82,9887682.0
JNJ,2025-01-23,145.44,147.91,144.8144,146.64,10506361.0
JNJ,2025-01-22,144.0,145.47,142.11,145.27,16834747.0
JNJ,2025-01-21,147.56,148.86,147.05,148.15,11111747.0
JNJ,2025-01-17,147.44,148.38,146.61,147.03,10773054.0
JNJ,2025-01-16,144.32,148.07,144.06,147.77,8964016.0
JNJ,2025-01-15,145.31,146.05,144.26,144.97,7434562.0
JNJ,2025-01-14,144.5,144.81,142.86,144.75,8681741.0
JNJ,2025-01-13,142.98,145.07,142.31,144.47,10376377.0
JNJ,2025-01-10,141.0,143.67,140.68,142.06,8821541.0
JNJ,2025-01-08,145.49,145.59,141.44,142.27,11175552.0
JNJ,2025-01-07,143.755,147.18,143.59,146.23,8422010.0
JNJ,2025-01-06,143.51,144.815,142.93,143.66,7910493.0
JNJ,2025-01-03,144.07,144.575,143.62,144.19,5879816.0
JNJ,2025-01-02,145.23,145.77,143.78,144.02,6051330.0
JNJ,2024-12-31,143.76,144.67,143.3098,144.62,5811401.0
JNJ,2024-12-30,144.84,144.88,142.95,143.34,6268692.0
JNJ,2024-12-27,144.87,146.6,144.68,145.05,5588306.0
JNJ,2024-12-26,145.51,146.37,145.09,145.58,4656981.0
JNJ,2024-12-24,145.0,145.85,144.3325,145.85,3164071.0
JNJ,2024-12-23,144.63,145.33,143.45,145.27,8720824.0
JNJ,2024-12-20,143.05,145.47,142.75,144.47,17702755.0
JNJ,2024-12-19,144.14,145.22,143.37,143.58,9516653.0
JNJ,2024-12-18,145.678,146.74,144.67,144.75,9336094.0
JNJ,2024-12-17,143.84,146.66,143.71,146.41,10342958.0
